Flight,Equipment Name,Origin Code,Destination Code,Dep Time,Arr Time,Date
PG   220,(PG)  319,CNX,BKK,1900,2020,24/3/2559
PG   220,(PG)  319,BKK,HKT,2155,2320,24/3/2559
PG   221,(PG)  319,BKK,CNX,2030,2145,24/3/2559
PG   222,(PG)  319,CNX,BKK,0655,0815,24/3/2559
PG   223,(PG)  319,BKK,CNX,1000,1115,24/3/2559
PG   225,(PG)  320,BKK,CNX,1435,1550,24/3/2559
PG   242,(PG)  319,CNX,USM,1200,1345,24/3/2559
PG   251,(PG)  AT7,USM,HKT,0805,0905,24/3/2559
PG   252,(PG)  AT7,HKT,USM,0935,1030,24/3/2559
PG   252,(PG)  AT7,USM,UTP,1110,1230,24/3/2559
PG   255,(PG)  AT7,USM,HKT,1430,1530,24/3/2559
PG   256,(PG)  AT7,HKT,USM,1600,1655,24/3/2559
PG   257,(PG)  AT7,USM,HKT,1730,1830,24/3/2559
PG   258,(PG)  AT7,HKT,USM,1905,2000,24/3/2559
PG   259,(PG)  AT7,USM,HKT,1100,1200,24/3/2559
PG   260,(PG)  AT7,HKT,USM,1235,1330,24/3/2559
PG   265,(PG)  AT7,BKK,USM,1020,1150,24/3/2559
PG   265,(PG)  AT7,USM,KBV,1220,1315,24/3/2559
PG   266,(PG)  AT7,KBV,USM,1345,1435,24/3/2559
PG   266,(PG)  AT7,USM,BKK,1505,1635,24/3/2559
PG   270,(PG)  319,HKT,BKK,0700,0825,24/3/2559
PG   271,(PG)  320,BKK,HKT,0805,0930,24/3/2559
PG   272,(PG)  320,HKT,BKK,1020,1145,24/3/2559
PG   273,(PG)  320,BKK,HKT,1355,1520,24/3/2559
PG   274,(PG)  320,HKT,BKK,1610,1735,24/3/2559
PG   275,(PG)  320,BKK,HKT,1000,1125,24/3/2559
PG   276,(PG)  320,HKT,BKK,1215,1340,24/3/2559
PG   277,(PG)  320,BKK,HKT,1655,1820,24/3/2559
PG   278,(PG)  320,HKT,BKK,1910,2035,24/3/2559
PG   279,(PG)  320,BKK,HKT,2005,2130,24/3/2559
PG   280,(PG)  320,HKT,BKK,2215,2340,24/3/2559
PG   281,(PG)  AT7,UTP,HKT,1300,1440,24/3/2559
PG   282,(PG)  AT7,HKT,UTP,1510,1645,24/3/2559
PG   294,(PG)  AT7,UTP,USM,1715,1820,24/3/2559
PG   301,(PG)  AT7,BKK,TDX,0830,0930,24/3/2559
PG   302,(PG)  AT7,TDX,BKK,1015,1115,24/3/2559
PG   307,(PG)  AT7,BKK,TDX,1710,1810,24/3/2559
PG   308,(PG)  AT7,TDX,BKK,1840,1940,24/3/2559
PG   701,(PG)  319,BKK,RGN,0915,1005,24/3/2559
PG   702,(PG)  319,RGN,BKK,1055,1250,24/3/2559
PG   703,(PG)  319,BKK,RGN,1500,1550,24/3/2559
PG   704,(PG)  319,RGN,BKK,1640,1835,24/3/2559
PG   711,(PG)  319,BKK,MLE,1355,1610,24/3/2559
PG   712,(PG)  319,MLE,BKK,1710,2340,24/3/2559
PG   731,(PG)  319,BKK,BLR,2230,0035,24/3/2559
PG   732,(PG)  319,BLR,BKK,0135,0650,24/3/2559
PG   733,(PG)  320,BKK,BOM,2130,0035,24/3/2559
PG   734,(PG)  320,BOM,BKK,0115,0705,24/3/2559
PG   745,(PG)  319,BKK,DAC,0040,0210,24/3/2559
PG   746,(PG)  319,DAC,BKK,0315,0645,24/3/2559
PG   805,(PG)  319,BKK,USM,0945,1050,24/3/2559
PG   805,(PG)  319,USM,HKG,1130,1545,24/3/2559
PG   806,(PG)  319,HKG,USM,1655,1900,24/3/2559
PG   806,(PG)  319,USM,BKK,1940,2045,24/3/2559
PG   874,(PG)  319,HKG,USM,0905,1110,24/3/2559
PG   874,(PG)  319,USM,BKK,1155,1300,24/3/2559
PG   903,(PG)  AT7,BKK,REP,0800,0910,24/3/2559
PG   905,(PG)  AT7,BKK,REP,1135,1245,24/3/2559
PG   906,(PG)  AT7,REP,BKK,1320,1435,24/3/2559
PG   906,(PG)  AT7,BKK,USM,1540,1710,24/3/2559
PG   907,(PG)  320,HKT,BKK,1435,1600,24/3/2559
PG   907,(PG)  AT7,BKK,REP,1705,1815,24/3/2559
PG   908,(PG)  AT7,REP,BKK,1850,2005,24/3/2559
PG   909,(PG)  320,CNX,BKK,1635,1755,24/3/2559
PG   909,(PG)  320,BKK,REP,1845,1940,24/3/2559
PG   910,(PG)  320,REP,BKK,2030,2135,24/3/2559
PG   913,(PG)  AT7,BKK,REP,1340,1450,24/3/2559
PG   914,(PG)  AT7,REP,BKK,1525,1640,24/3/2559
PG   924,(PG)  AT7,REP,BKK,0945,1100,24/3/2559
PG   924,(PG)  320,BKK,HKT,1220,1345,24/3/2559
PG   931,(PG)  319,BKK,PNH,0755,0910,24/3/2559
PG   932,(PG)  319,PNH,BKK,1000,1110,24/3/2559
PG   933,(PG)  319,BKK,PNH,1340,1450,24/3/2559
PG   934,(PG)  319,PNH,BKK,1540,1650,24/3/2559
PG   935,(PG)  319,BKK,PNH,1730,1840,24/3/2559
PG   936,(PG)  319,PNH,BKK,1930,2040,24/3/2559
PG   937,(PG)  AT7,BKK,PNH,2015,2150,24/3/2559
PG   938,(PG)  AT7,PNH,BKK,0640,0815,24/3/2559
PG   941,(PG)  AT7,BKK,LPQ,0930,1130,24/3/2559
PG   942,(PG)  AT7,LPQ,BKK,1210,1415,24/3/2559
PG   951,(PG)  319,BKK,USM,1610,1715,24/3/2559
PG   951,(PG)  319,USM,KUL,1755,2025,24/3/2559
PG   952,(PG)  319,KUL,USM,0825,0905,24/3/2559
PG   952,(PG)  319,USM,BKK,0945,1050,24/3/2559
PG   961,(PG)  319,BKK,USM,1445,1550,24/3/2559
PG   961,(PG)  319,USM,SIN,1635,1920,24/3/2559
PG   962,(PG)  319,SIN,USM,2010,2055,24/3/2559
PG   962,(PG)  319,USM,BKK,2200,2305,24/3/2559
