Flight,Equipment Name,Origin Code,Destination Code,Dep Time,Arr Time,Date
FD  3271,(FD)  320,KOP,BKK,1545,1700,24/3/2559
FD  3320,(FD)  320,BKK,UBP,0725,0830,24/3/2559
FD  3321,(FD)  320,UBP,BKK,0900,1010,24/3/2559
FD  3322,(FD)  320,BKK,UBP,1850,1955,24/3/2559
FD  3323,(FD)  320,UBP,BKK,2025,2130,24/3/2559
FD  3360,(FD)  320,BKK,UTH,0710,0815,24/3/2559
FD  3361,(FD)  320,UTH,BKK,0845,0950,24/3/2559
FD  3364,(FD)  320,BKK,UTH,1615,1715,24/3/2559
FD  3365,(FD)  320,UTH,BKK,1740,1840,24/3/2559
FD  3366,(FD)  320,BKK,UTH,1110,1215,24/3/2559
FD  3367,(FD)  320,UTH,BKK,1300,1405,24/3/2559
FD  3415,(FD)  320,CNX,HDY,1055,1255,24/3/2559
FD  3416,(FD)  320,HDY,CNX,1325,1545,24/3/2559
FD  3427,(FD)  320,CNX,BKK,0710,0825,24/3/2559
FD  3428,(FD)  320,BKK,CNX,0910,1025,24/3/2559
FD  3451,(FD)  320,CNX,SIN,1615,2020,24/3/2559
FD  3452,(FD)  320,SIN,CNX,2050,2300,24/3/2559
FD  3501,(FD)  320,BKK,SIN,0705,1025,24/3/2559
FD  3502,(FD)  320,SIN,BKK,1055,1215,24/3/2559
FD  3503,(FD)  320,BKK,SIN,1040,1405,24/3/2559
FD  3504,(FD)  320,SIN,BKK,1440,1605,24/3/2559
FD  3505,(FD)  320,BKK,SIN,1645,2005,24/3/2559
FD  3506,(FD)  320,SIN,BKK,2040,2205,24/3/2559
FD  3507,(FD)  320,BKK,SIN,1310,1635,24/3/2559
FD  3508,(FD)  320,SIN,BKK,1730,1850,24/3/2559
FD  3509,(FD)  320,BKK,SIN,1850,2215,24/3/2559
FD  3524,(FD)  320,HKT,SIN,0955,1245,24/3/2559
FD  3525,(FD)  320,SIN,HKT,1315,1400,24/3/2559
FD  3545,(FD)  320,BKK,PEN,1355,1635,24/3/2559
FD  3546,(FD)  320,PEN,BKK,1705,1745,24/3/2559
FD  3571,(FD)  320,BKK,KUL,0710,1015,24/3/2559
FD  3572,(FD)  320,KUL,BKK,1040,1140,24/3/2559
FD  3573,(FD)  320,BKK,KUL,1205,1505,24/3/2559
FD  3574,(FD)  320,KUL,BKK,1530,1640,24/3/2559
FD  3575,(FD)  320,BKK,KUL,1830,2140,24/3/2559
FD  3576,(FD)  320,KUL,BKK,2220,2320,24/3/2559
FD  3600,(FD)  320,BKK,MFM,0635,1035,24/3/2559
FD  3601,(FD)  320,MFM,BKK,1110,1255,24/3/2559
FD  3602,(FD)  320,BKK,MFM,1020,1350,24/3/2559
FD  3603,(FD)  320,MFM,BKK,1420,1555,24/3/2559
FD  3604,(FD)  320,BKK,MFM,1510,1845,24/3/2559
FD  3605,(FD)  320,MFM,BKK,1925,2105,24/3/2559
FD  3606,(FD)  320,BKK,MFM,1735,2110,24/3/2559
FD  3607,(FD)  320,MFM,BKK,2150,2335,24/3/2559
FD  3616,(FD)  320,BKK,PNH,1525,1635,24/3/2559
FD  3617,(FD)  320,PNH,BKK,1720,1830,24/3/2559
FD  3622,(FD)  320,BKK,SZX,1825,2225,24/3/2559
FD  3623,(FD)  320,SZX,BKK,2320,0115,24/3/2559
FD  3648,(FD)  320,BKK,CAN,1910,2310,24/3/2559
FD  3649,(FD)  320,CAN,BKK,2355,0145,24/3/2559
FD  3677,(FD)  320,BKK,DPS,0615,1130,24/3/2559
FD  3678,(FD)  320,DPS,BKK,1200,1520,24/3/2559
FD  3688,(FD)  320,BKK,HGH,1800,2310,24/3/2559
FD  3689,(FD)  320,HGH,BKK,0005,0310,24/3/2559
FD  3700,(FD)  320,BKK,HAN,0645,0835,24/3/2559
FD  3701,(FD)  320,HAN,BKK,0915,1105,24/3/2559
FD  3712,(FD)  320,BKK,HKG,0630,1015,24/3/2559
FD  3713,(FD)  320,HKG,BKK,1045,1235,24/3/2559
FD  3720,(FD)  320,BKK,SGN,0745,0915,24/3/2559
FD  3721,(FD)  320,SGN,BKK,0945,1110,24/3/2559
FD  3724,(FD)  320,BKK,SGN,1555,1725,24/3/2559
FD  3725,(FD)  320,SGN,BKK,1755,1925,24/3/2559
FD  3760,(FD)  320,BKK,MAA,1730,1930,24/3/2559
FD  3761,(FD)  320,MAA,BKK,2015,0110,24/3/2559
FD  3770,(FD)  320,BKK,RGN,0715,0800,24/3/2559
FD  3771,(FD)  320,RGN,BKK,0835,1020,24/3/2559
FD  3772,(FD)  320,BKK,RGN,1650,1735,24/3/2559
FD  3773,(FD)  320,RGN,BKK,1805,1955,24/3/2559
FD  3782,(FD)  320,BKK,CCU,1050,1210,24/3/2559
FD  3783,(FD)  320,CCU,BKK,1245,1705,24/3/2559
FD  3861,(FD)  320,BKK,HKG,1630,2015,24/3/2559
FD  3862,(FD)  320,HKG,BKK,2050,2230,24/3/2559
FD  3880,(FD)  320,BKK,CMB,0625,0835,24/3/2559
FD  3881,(FD)  320,CMB,BKK,0935,1415,24/3/2559
FD  3924,(FD)  320,HKT,HKG,1605,2035,24/3/2559
FD  3925,(FD)  320,HKG,HKT,2110,2340,24/3/2559
FD  3942,(FD)  320,HKT,DPS,0645,1145,24/3/2559
FD  3943,(FD)  320,DPS,HKT,1235,1505,24/3/2559
FD  3974,(FD)  320,HKT,CNX,1035,1240,24/3/2559
FD  3975,(FD)  320,CNX,HKT,1310,1515,24/3/2559
FD  3976,(FD)  320,HKT,CNX,2015,2215,24/3/2559
FD  3977,(FD)  320,CNX,HKT,2245,0050,24/3/2559
FD  3984,(FD)  320,HKT,UTH,1545,1725,24/3/2559
FD  3985,(FD)  320,UTH,HKT,1755,1945,24/3/2559
